T,P,TC,SV,Idx
253.15,17.7,0.026827279,389.3552421,54.10296734
253.15,17.7,0.026970235,388.0071597,54.16274047
253.15,17.7,0.026911693,385.6778463,54.23291679
253.15,17.7,0.026815188,384.2920314,54.30443423
253.15,17.7,0.026731152,392.0606055,54.0709732
253.15,17.7,0.027051524,387.6161685,54.12248903
253.15,17.7,0.026884,388.4453726,54.02780525
253.15,17.7,0.02737485,382.3868675,54.40599284
253.15,17.7,0.026968985,388.4943915,54.13637485
253.15,17.7,0.027191342,392.0853236,53.83610902
253.15,17.7,0.027292982,386.9288517,54.16365234
253.15,17.7,0.026980404,389.842591,54.19152735
253.15,17.7,0.027127514,388.1208452,54.04855896
253.15,17.7,0.027261214,393.0621904,53.66355858
253.15,17.7,0.02661981,388.7592865,54.22292855
253.15,17.7,0.026967543,390.5670677,54.00401191
253.15,17.7,0.02729586,396.9430168,53.41371832
253.15,17.7,0.026901228,386.5981763,54.28489661
253.15,17.7,0.026890871,390.8305608,54.09451211
253.15,17.7,0.027493686,391.5369502,53.64947926
253.15,17.7,0.027288488,384.4231154,54.18963816
253.15,17.7,0.026813681,386.217933,54.14842685
253.15,17.7,0.027207523,393.265234,53.54914207
253.15,17.7,0.026962613,387.5317288,54.04087076
253.15,17.7,0.026934257,389.2016517,54.0948354
253.15,17.7,0.027385434,385.4724032,54.17305041
253.15,17.7,0.026700344,385.7934746,54.18377504
253.15,17.7,0.027400319,387.3873737,53.98602418
253.15,17.7,0.027269473,385.841153,54.13313231
253.15,17.7,0.027168586,389.857531,53.89860625
253.15,17.7,0.027094899,393.6943094,53.8000358
253.15,17.7,0.02690027,390.9035485,53.95222134
253.15,17.7,0.026850208,387.345239,54.03968896
253.15,17.7,0.027015569,387.1596222,54.29206799
253.15,17.7,0.026958391,385.973253,54.25381804
253.15,17.7,0.027114673,389.858745,53.99780887
253.15,17.7,0.026686631,388.7897594,54.11498889
253.15,17.7,0.027241397,393.6362937,53.73411539
253.15,17.7,0.027346437,392.8996596,53.67049689
253.15,17.7,0.027349388,389.4339314,53.94909497
253.15,17.7,0.026645243,389.6454161,54.16725621
253.15,17.7,0.027165245,387.4106481,54.17386816
253.15,17.7,0.026871531,391.8284313,53.91874797
253.15,17.7,0.026893164,390.3688134,53.9833713
253.15,17.7,0.027002694,395.2202096,53.76370992
253.15,17.7,0.027122405,385.6221038,54.15587582
253.15,17.7,0.027191286,388.4631622,53.981003
253.15,17.7,0.027017231,393.6145331,53.90383453
253.15,17.7,0.026922958,388.6802183,53.97184545
253.15,17.7,0.027005495,391.1089525,53.8445174
253.15,17.7,0.027299268,388.446135,54.0154633
253.15,17.7,0.027045107,390.6551354,54.05713388
253.15,17.7,0.026924647,389.6885274,53.99388378
253.15,17.7,0.027228473,395.5682651,53.49788986
253.15,17.7,0.026885386,394.1825478,53.99363675
253.15,17.7,0.026963003,384.4552385,54.27798156
253.15,17.7,0.027331904,395.5582113,53.53711198
253.15,17.7,0.026986945,389.4882471,54.15431629
253.15,17.7,0.026760648,387.3559377,54.29778499
253.15,17.7,0.027156111,394.9833958,53.68029089
253.15,17.7,0.027264559,384.2512287,54.29965658
253.15,17.7,0.027079571,391.4222422,53.94346322
253.15,17.7,0.026841666,387.2249383,54.04699046
253.15,17.7,0.027129241,390.0803695,53.81849041
253.15,17.7,0.026633576,384.6631303,54.23446041
253.15,17.7,0.027141865,386.5049776,54.19064771
253.15,17.7,0.02706693,388.0695556,54.16702181
253.15,17.7,0.026961791,390.3736835,53.86353808
253.15,17.7,0.02720667,394.3671543,53.69233305
253.15,17.7,0.026965303,386.8255829,54.13997891
253.15,17.7,0.027357705,396.4638185,53.42588961
253.15,17.7,0.027371864,394.6575961,53.54671087
253.15,17.7,0.026998725,387.3267899,54.19366135
253.15,17.7,0.027007579,391.461922,54.05885545
253.15,17.7,0.02695833,383.87428,54.3200659
253.15,17.7,0.027100504,390.5593254,53.84543699
253.15,17.7,0.026902077,391.5056611,53.92922393
253.15,17.7,0.027120923,386.3232353,54.25563081
253.15,17.7,0.026552155,383.6599142,54.25053935
253.15,17.7,0.027132386,383.3423091,54.26269493
253.15,17.7,0.027152316,390.4946037,53.8913604
253.15,17.7,0.027488563,394.8696257,53.46616193
253.15,17.7,0.026715923,388.1616562,54.06172376
253.15,17.7,0.027037108,389.7709907,53.94479909
253.15,17.7,0.026818805,382.2555988,54.37174681
253.15,17.7,0.026975348,391.5764672,54.06373445
253.15,17.7,0.027241648,390.8950408,53.80807036
253.15,17.7,0.026889608,386.4108249,54.0810763
253.15,17.7,0.027073781,389.6428147,54.06661056
253.15,17.7,0.027155951,388.7772446,54.10668704
253.15,17.7,0.02738698,388.7305246,53.97163406
